batchsize=64, learning_rate=1e-05, max_length=512, dropout=0.5, 83, step=0	epoch=0	loss=0.6987	train_acc=0.4688	val_acc=0.4114
batchsize=64, learning_rate=1e-05, max_length=512, dropout=0.5, 83, step=1	epoch=0	loss=0.7086	train_acc=0.3281	val_acc=0.4968
batchsize=64, learning_rate=1e-05, max_length=512, dropout=0.5, 83, step=2	epoch=0	loss=0.6825	train_acc=0.5781	val_acc=0.5867
batchsize=64, learning_rate=1e-05, max_length=512, dropout=0.5, 83, step=3	epoch=0	loss=0.6931	train_acc=0.5156	val_acc=0.6312
batchsize=64, learning_rate=1e-05, max_length=512, dropout=0.5, 83, step=4	epoch=0	loss=0.6887	train_acc=0.5781	val_acc=0.6540
batchsize=64, learning_rate=1e-05, max_length=512, dropout=0.5, 83, step=5	epoch=0	loss=0.6766	train_acc=0.6875	val_acc=0.6658
batchsize=64, learning_rate=1e-05, max_length=512, dropout=0.5, 83, step=6	epoch=0	loss=0.6862	train_acc=0.5938	val_acc=0.6503
batchsize=64, learning_rate=1e-05, max_length=512, dropout=0.5, 83, step=7	epoch=0	loss=0.6823	train_acc=0.6094	val_acc=0.6458
batchsize=64, learning_rate=1e-05, max_length=512, dropout=0.5, 83, step=8	epoch=0	loss=0.6736	train_acc=0.6562	val_acc=0.6421
batchsize=64, learning_rate=1e-05, max_length=512, dropout=0.5, 83, step=9	epoch=0	loss=0.6829	train_acc=0.5938	val_acc=0.6467
batchsize=64, learning_rate=1e-05, max_length=512, dropout=0.5, 83, step=10	epoch=0	loss=0.6742	train_acc=0.5781	val_acc=0.6540
batchsize=64, learning_rate=1e-05, max_length=512, dropout=0.5, 83, step=11	epoch=0	loss=0.6619	train_acc=0.6562	val_acc=0.6721
batchsize=64, learning_rate=1e-05, max_length=512, dropout=0.5, 83, step=12	epoch=0	loss=0.6506	train_acc=0.7188	val_acc=0.6876
batchsize=64, learning_rate=1e-05, max_length=512, dropout=0.5, 83, step=13	epoch=0	loss=0.6471	train_acc=0.6875	val_acc=0.7021
batchsize=64, learning_rate=1e-05, max_length=512, dropout=0.5, 83, step=14	epoch=0	loss=0.6342	train_acc=0.6875	val_acc=0.7121
batchsize=64, learning_rate=1e-05, max_length=512, dropout=0.5, 83, step=15	epoch=0	loss=0.6383	train_acc=0.7500	val_acc=0.7139
batchsize=64, learning_rate=1e-05, max_length=512, dropout=0.5, 83, step=16	epoch=0	loss=0.6341	train_acc=0.7031	val_acc=0.7257
