batchsize=64, learning_rate=0.0001, max_length=256, dropout=0.5, 86, step=0	epoch=0	loss=0.6921	train_acc=0.5625	val_acc=0.6957
batchsize=64, learning_rate=0.0001, max_length=256, dropout=0.5, 86, step=1	epoch=0	loss=0.6687	train_acc=0.5938	val_acc=0.8538
batchsize=64, learning_rate=0.0001, max_length=256, dropout=0.5, 86, step=2	epoch=0	loss=0.6302	train_acc=0.7969	val_acc=0.7248
batchsize=64, learning_rate=0.0001, max_length=256, dropout=0.5, 86, step=3	epoch=0	loss=0.5999	train_acc=0.6875	val_acc=0.9128
batchsize=64, learning_rate=0.0001, max_length=256, dropout=0.5, 86, step=4	epoch=0	loss=0.4740	train_acc=0.8750	val_acc=0.9183
batchsize=64, learning_rate=0.0001, max_length=256, dropout=0.5, 86, step=5	epoch=0	loss=0.3809	train_acc=0.9219	val_acc=0.9246
batchsize=64, learning_rate=0.0001, max_length=256, dropout=0.5, 86, step=6	epoch=0	loss=0.2785	train_acc=0.9062	val_acc=0.9328
batchsize=64, learning_rate=0.0001, max_length=256, dropout=0.5, 86, step=7	epoch=0	loss=0.2620	train_acc=0.9219	val_acc=0.9337
batchsize=64, learning_rate=0.0001, max_length=256, dropout=0.5, 86, step=8	epoch=0	loss=0.1884	train_acc=0.9375	val_acc=0.9355
batchsize=64, learning_rate=0.0001, max_length=256, dropout=0.5, 86, step=9	epoch=0	loss=0.2588	train_acc=0.8906	val_acc=0.9410
batchsize=64, learning_rate=0.0001, max_length=256, dropout=0.5, 86, step=10	epoch=0	loss=0.1818	train_acc=0.9531	val_acc=0.9083
batchsize=64, learning_rate=0.0001, max_length=256, dropout=0.5, 86, step=11	epoch=0	loss=0.2618	train_acc=0.9219	val_acc=0.9310
batchsize=64, learning_rate=0.0001, max_length=256, dropout=0.5, 86, step=12	epoch=0	loss=0.1981	train_acc=0.9375	val_acc=0.9419
batchsize=64, learning_rate=0.0001, max_length=256, dropout=0.5, 86, step=13	epoch=0	loss=0.1766	train_acc=0.9219	val_acc=0.9037
batchsize=64, learning_rate=0.0001, max_length=256, dropout=0.5, 86, step=14	epoch=0	loss=0.2273	train_acc=0.9062	val_acc=0.9210
batchsize=64, learning_rate=0.0001, max_length=256, dropout=0.5, 86, step=15	epoch=0	loss=0.1618	train_acc=0.9375	val_acc=0.9428
batchsize=64, learning_rate=0.0001, max_length=256, dropout=0.5, 86, step=16	epoch=0	loss=0.1520	train_acc=0.9531	val_acc=0.9228
batchsize=64, learning_rate=0.0001, max_length=256, dropout=0.5, 86, step=17	epoch=0	loss=0.1977	train_acc=0.9375	val_acc=0.9137
batchsize=64, learning_rate=0.0001, max_length=256, dropout=0.5, 86, step=18	epoch=0	loss=0.1503	train_acc=0.9375	val_acc=0.9210
batchsize=64, learning_rate=0.0001, max_length=256, dropout=0.5, 86, step=19	epoch=0	loss=0.2728	train_acc=0.9219	val_acc=0.9391
batchsize=64, learning_rate=0.0001, max_length=256, dropout=0.5, 86, step=20	epoch=0	loss=0.1921	train_acc=0.9375	val_acc=0.9437
batchsize=64, learning_rate=0.0001, max_length=256, dropout=0.5, 86, step=21	epoch=0	loss=0.1055	train_acc=0.9531	val_acc=0.9373
batchsize=64, learning_rate=0.0001, max_length=256, dropout=0.5, 86, step=22	epoch=0	loss=0.1963	train_acc=0.9219	val_acc=0.9373
batchsize=64, learning_rate=0.0001, max_length=256, dropout=0.5, 86, step=23	epoch=0	loss=0.1378	train_acc=0.9531	val_acc=0.9410
batchsize=64, learning_rate=0.0001, max_length=256, dropout=0.5, 86, step=24	epoch=0	loss=0.2433	train_acc=0.9062	val_acc=0.9455
batchsize=64, learning_rate=0.0001, max_length=256, dropout=0.5, 86, step=25	epoch=0	loss=0.1430	train_acc=0.9375	val_acc=0.9446
batchsize=64, learning_rate=0.0001, max_length=256, dropout=0.5, 86, step=26	epoch=0	loss=0.1733	train_acc=0.9531	val_acc=0.9346
batchsize=64, learning_rate=0.0001, max_length=256, dropout=0.5, 86, step=27	epoch=0	loss=0.0887	train_acc=0.9688	val_acc=0.9064
