batchsize=64, learning_rate=1e-05, max_length=256, dropout=0.6, 81, step=0	epoch=0	loss=0.7003	train_acc=0.3594	val_acc=0.5177
batchsize=64, learning_rate=1e-05, max_length=256, dropout=0.6, 81, step=1	epoch=0	loss=0.7024	train_acc=0.4375	val_acc=0.6612
batchsize=64, learning_rate=1e-05, max_length=256, dropout=0.6, 81, step=2	epoch=0	loss=0.6842	train_acc=0.6250	val_acc=0.6966
batchsize=64, learning_rate=1e-05, max_length=256, dropout=0.6, 81, step=3	epoch=0	loss=0.6842	train_acc=0.6094	val_acc=0.6621
batchsize=64, learning_rate=1e-05, max_length=256, dropout=0.6, 81, step=4	epoch=0	loss=0.6826	train_acc=0.5781	val_acc=0.6213
batchsize=64, learning_rate=1e-05, max_length=256, dropout=0.6, 81, step=5	epoch=0	loss=0.6768	train_acc=0.6250	val_acc=0.6122
batchsize=64, learning_rate=1e-05, max_length=256, dropout=0.6, 81, step=6	epoch=0	loss=0.6798	train_acc=0.5625	val_acc=0.6222
batchsize=64, learning_rate=1e-05, max_length=256, dropout=0.6, 81, step=7	epoch=0	loss=0.6685	train_acc=0.6250	val_acc=0.6267
batchsize=64, learning_rate=1e-05, max_length=256, dropout=0.6, 81, step=8	epoch=0	loss=0.6707	train_acc=0.5938	val_acc=0.6494
batchsize=64, learning_rate=1e-05, max_length=256, dropout=0.6, 81, step=9	epoch=0	loss=0.6653	train_acc=0.6406	val_acc=0.6694
batchsize=64, learning_rate=1e-05, max_length=256, dropout=0.6, 81, step=10	epoch=0	loss=0.6478	train_acc=0.7188	val_acc=0.6839
batchsize=64, learning_rate=1e-05, max_length=256, dropout=0.6, 81, step=11	epoch=0	loss=0.6427	train_acc=0.7812	val_acc=0.6857
batchsize=64, learning_rate=1e-05, max_length=256, dropout=0.6, 81, step=12	epoch=0	loss=0.6357	train_acc=0.7500	val_acc=0.6857
batchsize=64, learning_rate=1e-05, max_length=256, dropout=0.6, 81, step=13	epoch=0	loss=0.6408	train_acc=0.6562	val_acc=0.6885
